"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"RACI/RASI for media assets and tooling","https://app.dework.xyz/omi-group/media-78661?taskId=dbcb903a-658e-4d05-8d97-a9b20239876c","Maintain sustainable innovation,github issue","","DONE","","","","","Github Integration created on Feb 14, 2024 1:15 PM, Task completed on Mar 13, 2024 2:24 AM"
"List of blog drafts to send via mailing lists ","https://app.dework.xyz/omi-group/media-78661?taskId=456f88bf-bbf4-463f-978b-290f1713d5df","github issue","","TODO","","","","","Github Integration created on Feb 14, 2024 1:08 PM"
"make a new/updated style guide","https://app.dework.xyz/omi-group/media-78661?taskId=4e848ca2-9b20-4b08-98f0-7c50ca574899","github issue","","TODO","","","","","Github Integration created on Feb 14, 2024 1:04 PM"
"Develop a new preamble template for meeting records","https://app.dework.xyz/omi-group/media-78661?taskId=1c6dc10c-c17d-443f-9e73-b804f6cd9f00","github issue","","TODO","","","","","Github Integration created on Feb 14, 2024 12:28 PM"
"Lets update the readme for this repo ","https://app.dework.xyz/omi-group/media-78661?taskId=f87b31b8-875d-4c09-b18d-3171a4ce50a5","github issue,documentation","","TODO","","","","","Github Integration created on May 5, 2023 4:51 PM"
"Create youtube playlists for our content ","https://app.dework.xyz/omi-group/media-78661?taskId=f0e376c6-c83a-4915-94a7-2ccf2b61d696","github issue,documentation","","TODO","","","","","Github Integration created on May 5, 2023 4:50 PM"
"Mastodon ","https://app.dework.xyz/omi-group/media-78661?taskId=db4c5784-642d-4887-8b20-e35001ee588a","github issue,Make the metaverse more human,Maintain sustainable innovation,enhancement","","DONE","","","","","Github Integration created on Dec 23, 2022 7:21 PM, Task completed on Dec 23, 2022 7:23 PM"
"Video clips","https://app.dework.xyz/omi-group/content-submissions?taskId=be50e74e-6bf6-4163-b436-139eb05154ac","","","TODO","","","","","jin created on Nov 8, 2022 12:53 PM"
"Explore forming a Streaming Team","https://app.dework.xyz/omi-group/media-78661?taskId=668d008e-963a-4fe1-b311-849dc8745d9e","github issue,Maintain sustainable innovation,Call for Participation,Make the metaverse more human","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
"content sprint","https://app.dework.xyz/omi-group/media-78661?taskId=f53ddb09-2621-4a2f-be2c-2865d5874e55","documentation,github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
"Create a readme","https://app.dework.xyz/omi-group/media-78661?taskId=366a1bbb-013c-400c-8dab-cd7c7b565279","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM"
"Create an analytics dashboard","https://app.dework.xyz/omi-group/media-78661?taskId=8a47c355-54e0-4a6a-a82b-f0abdb2fc7b1","documentation,github issue,enhancement","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
"Assess tools like Sanity = https://www.sanity.io/pricing","https://app.dework.xyz/omi-group/media-78661?taskId=49156f88-a569-4d39-b184-d833c1767912","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
"Compare automation tools for social channels","https://app.dework.xyz/omi-group/media-78661?taskId=f70bcc03-c2b5-4c91-9c84-2ba60b2afde8","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM"
"Set up known calendar for the year","https://app.dework.xyz/omi-group/media-78661?taskId=47bf7bf9-3054-4e99-9a6e-cacbebbaf8ae","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM"
"Set up milestone conferences & industry events to target","https://app.dework.xyz/omi-group/media-78661?taskId=686eaad1-bdcc-436b-bc81-1f63a3c86c40","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
"Discuss demo night timing with community in Wednesday mtg","https://app.dework.xyz/omi-group/media-78661?taskId=1291e6e8-3dcd-478d-8d6a-a4b5af9d007e","github issue","","DONE","","","","","jin created on Nov 8, 2022 12:25 PM"
"Discuss swag design - swarm designs for shirts/hoodies","https://app.dework.xyz/omi-group/media-78661?taskId=629ee92b-c639-44ff-9a52-ac88f572124e","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Nov 8, 2022 12:25 PM, Task completed on May 5, 2023 4:48 PM"
